reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,Id
b035ae94-6f8e-4051-96c4-2ff2225512eb,Ali Hussain,https://play-lh.googleusercontent.com/a/ACg8ocIbWp3y6mbyFWzr6U_cl5FJn37xUIbo1IkW8OiQStS-=mo,Ossam app,5,0,11.90.1.31,2024-02-16 17:56:33,,,11.90.1.31,com.snapchat.android
ab583034-b85b-4059-9d28-6779416b3359,amna noor,https://play-lh.googleusercontent.com/a-/ALV-UjUMyHbi442t4WfaGekixYChqNaWDfaoLjS30fn7133ArQ,This app is totally good I like it I was using this 👌😄 I like it And in 2021 snapchat has games but not in 2024 it was sad!! Please snapchat backup the gamessss😣😣😣,5,0,12.73.0.40,2024-02-16 15:59:14,,,12.73.0.40,com.snapchat.android
deff1158-9d8a-4934-ae13-2de63efccabe,Dhruv Singh Rathore Dhruv,https://play-lh.googleusercontent.com/a/ACg8ocLvnK5e_o8M6egRqBMO038oa2WGtCJfcEY6Px1oS8S_=mo,Badiya he,5,0,,2024-02-16 15:50:50,,,,com.snapchat.android
402b333d-d0db-4cf0-be45-ef1b09924039,Khan 302,https://play-lh.googleusercontent.com/a/ACg8ocKYXIEq0w9yulbFWp6RbECLDeb_89BqCjoJ-9rGed7E=mo,Love you fk da life,5,0,,2024-02-16 15:38:44,,,,com.snapchat.android
05d68587-246c-4f3a-9d49-d07116f85a9d,Karamjit Kaur,https://play-lh.googleusercontent.com/a/ACg8ocJbLVokD2-RJsQItc82Q716dpdmqbp0I91X8H3TpMiX=mo,Sunny rathour,5,0,,2024-02-16 15:35:55,,,,com.snapchat.android
15d1316b-fdf6-42ff-bba3-72b71b2bbd85,Joy Udumukwu,https://play-lh.googleusercontent.com/a-/ALV-UjX97cyo3B3rQ9cPxwKasf_OHTarJ_u7UtLUEO_B-MUFJw,It could be better,5,2,,2024-02-16 12:35:10,,,,com.snapchat.android
b9a5b620-5082-443c-82f2-6440082bdbfa,Mdsahin Alom,https://play-lh.googleusercontent.com/a/ACg8ocKKTvn-KPkktrC_T-b0TVhd11ZwogLsAc83N8tOgalw=mo,sahin,5,1,,2024-02-16 11:57:00,,,,com.snapchat.android
ba69349a-68a7-45d7-8011-5320ce6e2e9f,Abubakar Usman,https://play-lh.googleusercontent.com/a/ACg8ocLkVb9Xwd5L2m49RO1OFe2j6IMqAQ-_ONsdfq5tZA8a=mo,great app,5,1,11.87.0.38,2024-02-16 11:43:39,,,11.87.0.38,com.snapchat.android
199465aa-1d7e-4b91-b355-6ae3dfdfd2c5,Gwobwic Laye hds,https://play-lh.googleusercontent.com/a/ACg8ocIgOJtfgyNynx1-2u3pin5v3fUK-dUWUjw5sEJ3Y-o4=mo,تتتتتتتت,5,1,,2024-02-16 11:25:58,,,,com.snapchat.android
2e51d0d3-4322-4e4c-85be-4ef4c83ef80e,To zing Vyxzt85h,https://play-lh.googleusercontent.com/a/ACg8ocJWWYL2-U3tCuN6JGj3W-AhgrXxN9XOWz74Q6WfnKll=mo,Saraiki,5,1,12.73.0.40,2024-02-16 11:12:50,,,12.73.0.40,com.snapchat.android
f036abbc-08ea-4c17-86c9-aaee95d7b6ba,Md Rakib,https://play-lh.googleusercontent.com/a/ACg8ocJLkmrJesuoVg_iLrhWYhVUmTc2kSqRqVOW_bCPVnr-=mo,খাইও,5,0,,2024-02-16 09:40:09,,,,com.snapchat.android
a6debc3f-4a61-463a-bd11-b6ff1bd248ee,Ha San,https://play-lh.googleusercontent.com/a/ACg8ocITwdXCCswxMVVbTvhcfzmrjVLiU5dGNJjSUyRDn-iU=mo,Vidi I deus lido to yieyr Urrwuyreurrwi,5,0,,2024-02-16 08:14:21,,,,com.snapchat.android
